Title,URL,Description,Best Rating,Worst Rating,Rating Value,Genre,Duration
In Secret,https://www.imdb.com/title/tt0409379/,Thérèse grows up with her aunt and cousin. Around 1860 the aunt decides they move to Paris and that her son and Thérèse get married. The joy- and loveless life changes when her husband brings a friend home. The affair turns ugly f...,10,1,-0.6261788896441622,33,PT1H47M
September 5,https://www.imdb.com/title/tt28082769/,"During the 1972 Summer Olympics in Munich, Germany, an American sports broadcasting team must adapt to live coverage of the Israeli athletes being held hostage by a terrorist group.",10,1,0.2585322574198026,39,PT1H35M
Plankton: The Movie,https://www.imdb.com/title/tt32560777/,"When Karen the Computer decides to take over the world, it&apos;s up to Plankton to stop her - with a little help from SpongeBob and the Gal Pals (Pearl, Sandy, and Mrs. Puff).",10,1,-1.2454766925889371,17,PT1H27M
Better Man,https://www.imdb.com/title/tt14260836/,"The meteoric rise, dramatic fall, and remarkable resurgence of British pop superstar Robbie Williams.",10,1,0.7008878309517851,24,PT2H15M
Chhaava,https://www.imdb.com/title/tt27922706/,"A historical drama based on the life of Chhatrapati Sambhaji Maharaj, the son of Chhatrapati Shivaji Maharaj.",10,1,0.8778300603645782,10,PT2H41M
Blink Twice,https://www.imdb.com/title/tt14858658/,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her ...",10,1,-0.27229443081857596,51,PT1H42M
The Order,https://www.imdb.com/title/tt26625693/,"A series of bank robberies and car heists frightened communities in the Pacific Northwest. A lone FBI agent believes that the crimes were not the work of financially motivated criminals, but rather a group of dangerous domestic te...",10,1,-0.006881086699386683,33,PT1H56M
Gladiator,https://www.imdb.com/title/tt0172495/,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,10,1,1.4971278633093537,1,PT2H35M
Sicario,https://www.imdb.com/title/tt3397884/,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,10,1,0.789358945658182,9,PT2H1M
It Ends with Us,https://www.imdb.com/title/tt10655524/,"When a woman&apos;s first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",10,1,-0.36076554552497214,42,PT2H10M
