Title,URL,Description,Best Rating,Worst Rating,Rating Value,Genre,Duration
Emilia Pérez,https://www.imdb.com/title/tt20221436/,"Emilia Pérez follows three remarkable women in Mexico, each pursuing their own happiness. Cartel leader Emilia enlists unappreciated lawyer Rita to help fake her death so that she can finally live authentically as her true self.",10,1,5.4,"Comedy, Crime, Drama",PT2H12M
Picture This,https://www.imdb.com/title/tt29471733/,"Pia, a struggling photographer, receives a prediction: true love awaits in her next five dates. With her sister&apos;s wedding looming and her family playing matchmaker, her ex re-appears, throwing her love life into chaos.",10,1,5.3,"Comedy, Romance",PT1H41M
Last Breath,https://www.imdb.com/title/tt14403504/,A true story that follows seasoned deep-sea divers as they battle the raging elements to rescue their crew mate trapped hundreds of feet below the ocean&apos;s surface.,10,1,6.9,"Drama, Thriller",PT1H33M
Interstellar,https://www.imdb.com/title/tt0816692/,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",10,1,8.7,"Adventure, Drama, Sci-Fi",PT2H49M
Salò o le 120 giornate di Sodoma,https://www.imdb.com/title/tt0073650/,"In World War II Italy, four fascist libertines round up nine adolescent boys and girls and subject them to 120 days of torture.",10,1,5.8,Drama,PT1H57M
Gladiator II,https://www.imdb.com/title/tt9218128/,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",10,1,6.6,"Action, Adventure, Drama",PT2H28M
Babygirl,https://www.imdb.com/title/tt30057084/,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.,10,1,6,"Drama, Romance, Thriller",PT1H54M
A Minecraft Movie,https://www.imdb.com/title/tt3566834/,"Four misfits are suddenly pulled through a mysterious portal into a bizarre, cubic wonderland that thrives on imagination. To get back home, they&apos;ll have to master this world while embarking on a quest with an unexpected, expert c...",N/A,N/A,N/A,"Action, Adventure, Comedy",PT1H41M
The Odyssey,https://www.imdb.com/title/tt33764258/,"Follows Odysseus in his perilous journey home after the Trojan War, showcasing his encounters with Polyphemus, the Sirens, Circe, and finishing with his reunion with his wife, Penelope.",N/A,N/A,N/A,"Action, Adventure, Fantasy",N/A
Runaway Jury,https://www.imdb.com/title/tt0313542/,"A juror, a lawyer and a mysterious woman stand in the way of a man trying to manipulate an explosive trial.",10,1,7.1,"Crime, Drama, Thriller",PT2H7M
Death of a Unicorn,https://www.imdb.com/title/tt28443655/,Father-Daughter duo Elliott and Ridley hit a unicorn with their car and bring it to the wilderness retreat of a mega-wealthy pharmaceutical CEO.,10,1,5.5,"Comedy, Fantasy, Horror",PT1H44M
Trap,https://www.imdb.com/title/tt26753003/,A father and his teen daughter attend a pop concert only to realize they&apos;ve entered the center of a dark and sinister event.,10,1,5.8,"Crime, Horror, Mystery",PT1H45M
Queen of the Ring,https://www.imdb.com/title/tt28070202/,"In a time when pro wrestling for women was illegal all over the United States, a small town single mother embraces the danger as she dominates America&apos;s most masculine sport and becomes the first million dollar female athlete in h...",10,1,7,"Biography, Drama, Sport",PT2H20M
In the Lost Lands,https://www.imdb.com/title/tt4419684/,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where the sorceress and her guide, the drifter Boyce, must outwit and outfight man and demon.",10,1,5,"Action, Adventure, Fantasy",PT1H41M
The Parenting,https://www.imdb.com/title/tt14041896/,A couple rents a countryside house for a weekend with their parents and then discover it&apos;s inhabited by a 400-year-old poltergeist.,10,1,5.7,"Comedy, Horror",PT1H34M
Heart Eyes,https://www.imdb.com/title/tt32558992/,"For the past several years, the &quot;Heart Eyes Killer&quot; has wreaked havoc on Valentine&apos;s Day by stalking and murdering romantic couples. This Valentine&apos;s Day, no couple is safe.",10,1,6.2,"Comedy, Horror, Mystery",PT1H37M
Sonic the Hedgehog 3,https://www.imdb.com/title/tt18259086/,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance.",10,1,6.9,"Action, Adventure, Comedy",PT1H50M
